CD_Resp	transportador (grupo)	Cidade Cliente	pedido_gemco
1100	DOMICILIO	APARECIDA DE GOIANIA	1102417908
1100	DOMICILIO	GOIANIA	1102297399
1100	DOMICILIO	GOIANIA	1102395086
1100	DOMICILIO	GOIANIA	1102291602
1100	DOMICILIO	GOIANIA	1102488866
1100	DOMICILIO	TRINDADE	1102391008
1100	DOMICILIO	GOIANIA	1102304552
1100	DOMICILIO	GOIANIA	1102438489
1100	DOMICILIO	GOIANIA	1102102832
1100	DOMICILIO	ANAPOLIS	1102303014
1100	DOMICILIO	GOIANIA	1102531489
1100	DOMICILIO	GOIANIA	1102317090
1100	DOMICILIO	SENADOR CANEDO	1102293763
1100	DOMICILIO	TRINDADE	1102549546
1100	DOMICILIO	TRINDADE	1102344523
1100	DOMICILIO	GOIANIA	1102448695
1100	DOMICILIO	GOIANIA	1102548974
1100	DOMICILIO	TRINDADE	1102275304
1100	DOMICILIO	GOIANIA	1102426219
1100	DOMICILIO	GOIANIA	1102554182
1100	DOMICILIO	APARECIDA DE GOIANIA	1102500927
1100	DOMICILIO	APARECIDA DE GOIANIA	1102552543
1100	DOMICILIO	TRINDADE	1102343684
1100	DOMICILIO	APARECIDA DE GOIANIA	1102512827
1100	DOMICILIO	APARECIDA DE GOIANIA	1102553166
1100	DOMICILIO	TRINDADE	1102356616
1100	DOMICILIO	TRINDADE	1102287993
1100	DOMICILIO	GOIANIA	1102515230
1100	DOMICILIO	TRINDADE	1102294791
1100	DOMICILIO	GOIANIA	1102526073
1100	DOMICILIO	GOIANIA	1102482012
1100	DOMICILIO	APARECIDA DE GOIANIA	1102553670
1100	DOMICILIO	APARECIDA DE GOIANIA	1102520109
1100	DOMICILIO	TRINDADE	1102433629
1100	DOMICILIO	APARECIDA DE GOIANIA	1100877976
1100	DOMICILIO	ANAPOLIS	1102391161
1100	DOMICILIO	GOIANIA	1102100269
1100	DOMICILIO	GOIANIA	1102519204
1100	DOMICILIO	ANAPOLIS	1102471662
1100	DOMICILIO	GOIANIA	1102424858
1100	DOMICILIO	GOIANIA	1102494785
1100	DOMICILIO	GOIANIA	1102406924
1100	DOMICILIO	GOIANIA	1102547437
1100	DOMICILIO	GOIANIA	1101956446
1100	DOMICILIO	GOIANIA	1102147167
1100	DOMICILIO	GOIANIA	1102553674
1100	DOMICILIO	GOIANIA	1102161534
1100	DOMICILIO	ANAPOLIS	1102364859
1100	DOMICILIO	ANAPOLIS	1102503960
1100	DOMICILIO	GOIANIA	1102487565
1100	DOMICILIO	GOIANIA	1102383596
1100	DOMICILIO	GOIANIA	1102420115
1100	DOMICILIO	GOIANIA	1102519146
1100	DOMICILIO	GOIANIA	1102380716
1100	DOMICILIO	GOIANIA	1102461574
1100	DOMICILIO	ANAPOLIS	1102514646
1100	DOMICILIO	ANAPOLIS	1102357559
1100	DOMICILIO	SENADOR CANEDO	1102256823
1100	DOMICILIO	GOIANIA	1102517681
1100	DOMICILIO	ANAPOLIS	1102335205
1100	DOMICILIO	ANAPOLIS	1102384969
1100	DOMICILIO	GOIANIA	1102393582
1100	DOMICILIO	GOIANIA	1102448038
1100	DOMICILIO	ANAPOLIS	1102356514
1100	DOMICILIO	GOIANIA	1102409740
1100	DOMICILIO	GOIANIA	1102414826
1100	DOMICILIO	GOIANIA	1102296719
1100	DOMICILIO	ANAPOLIS	1102506693
1100	DOMICILIO	ANAPOLIS	1102386327
1100	DOMICILIO	GOIANIA	1102508500
1100	DOMICILIO	ANAPOLIS	1102465197
1100	DOMICILIO	ANAPOLIS	1102545787
1100	DOMICILIO	GOIANIA	1102505340
1100	DOMICILIO	ANAPOLIS	1102378408
1100	DOMICILIO	GOIANIA	1102284742
1100	DOMICILIO	GOIANIA	1102177133
1100	DOMICILIO	GOIANIA	1102336710
1100	DOMICILIO	GOIANIA	1102264269
1100	DOMICILIO	ANAPOLIS	1102451203
1100	DOMICILIO	GOIANIA	1102115391
1100	DOMICILIO	SENADOR CANEDO	1102521630
1100	DOMICILIO	ANAPOLIS	1102389121
1100	DOMICILIO	GOIANIA	1102276666
1100	DOMICILIO	GOIANIA	1101889383
1100	DOMICILIO	ANAPOLIS	1102545788
1100	DOMICILIO	ANAPOLIS	1102459180
1100	DOMICILIO	GOIANIA	1102359218
1100	DOMICILIO	ANAPOLIS	1102442082
1100	DOMICILIO	ANAPOLIS	1102442532
1100	DOMICILIO	ANAPOLIS	1102484615
1100	DOMICILIO	GOIANIA	1102461575
1100	DOMICILIO	ANAPOLIS	1102462165
1100	DOMICILIO	GOIANIA	1102333165
1100	DOMICILIO	GOIANIA	1102228515
1100	DOMICILIO	GOIANIA	1102374323
1100	DOMICILIO	GOIANIA	1102366563
1100	DOMICILIO	SENADOR CANEDO	1102378655
1100	DOMICILIO	ANAPOLIS	1102349160
1100	DOMICILIO	GOIANIA	1102255253
1100	DOMICILIO	GOIANIA	1102168034
1100	DOMICILIO	ANAPOLIS	1102503959
1100	DOMICILIO	ANAPOLIS	1102503483
1100	DOMICILIO	GOIANIA	1102428274
1100	DOMICILIO	ANAPOLIS	1102269941
1100	DOMICILIO	GOIANIA	1102294071
1100	DOMICILIO	GOIANIA	1102437227
1100	DOMICILIO	ANAPOLIS	1102534017
1100	DOMICILIO	APARECIDA DE GOIANIA	1102402253
1100	DOMICILIO	SENADOR CANEDO	1102190199
1100	DOMICILIO	APARECIDA DE GOIANIA	1102089079
1100	DOMICILIO	ANAPOLIS	1102395781
1100	DOMICILIO	GOIANIA	1102452916
1100	DOMICILIO	GOIANIA	1102415352
1100	DOMICILIO	ANAPOLIS	1102459179
1100	DOMICILIO	GOIANIA	1102108812
1100	DOMICILIO	ANAPOLIS	1102434653
1100	DOMICILIO	ANAPOLIS	1102413630
1100	DOMICILIO	GOIANIA	1099243368
1100	DOMICILIO	GOIANIA	1102021532
1100	DOMICILIO	GOIANIA	1102081663
1100	DOMICILIO	GOIANIA	1102426253
1100	DOMICILIO	SENADOR CANEDO	1102475111
1100	DOMICILIO	GOIANIA	1102519824
1100	DOMICILIO	GOIANIA	1102554135
1100	DOMICILIO	GOIANIA	1102369361
1100	DOMICILIO	SENADOR CANEDO	1102207246
1100	DOMICILIO	ANAPOLIS	1102290465
1100	DOMICILIO	APARECIDA DE GOIANIA	1102329977
1100	DOMICILIO	APARECIDA DE GOIANIA	1102547320
1100	DOMICILIO	GOIANIA	1102556039
1100	DOMICILIO	GOIANIA	1102176494
1100	DOMICILIO	GOIANIA	1102380429
1100	DOMICILIO	GOIANIA	1102278713
1100	DOMICILIO	SENADOR CANEDO	1102216057
1100	DOMICILIO	GOIANIA	1102516825
1100	DOMICILIO	GOIANIA	1102292945
1100	DOMICILIO	ANAPOLIS	1102304955
1100	DOMICILIO	GOIANIA	1102243104
1100	DOMICILIO	GOIANIA	1102528487
1100	DOMICILIO	ANAPOLIS	1102319076
1100	DOMICILIO	GOIANIA	1102395001
1100	DOMICILIO	GOIANIA	1102111650
1100	DOMICILIO	GOIANIA	1102422651
1100	DOMICILIO	GOIANIA	1102092901
1100	DOMICILIO	GOIANIA	1102470687
1100	DOMICILIO	GOIANIA	1102368097
1100	DOMICILIO	GOIANIA	1102326144
1100	DOMICILIO	ANAPOLIS	1102440100
1100	DOMICILIO	TRINDADE	1102025316
1100	DOMICILIO	GOIANIA	1102034962
1100	DOMICILIO	APARECIDA DE GOIANIA	1101992846
1100	DOMICILIO	GOIANIA	1102466838
1100	DOMICILIO	GOIANIA	1102551545
1100	DOMICILIO	ANAPOLIS	1102294189
1100	DOMICILIO	APARECIDA DE GOIANIA	1102517437
1100	DOMICILIO	ANAPOLIS	1102149237
1100	DOMICILIO	APARECIDA DE GOIANIA	1102419513
1100	DOMICILIO	TRINDADE	1102184273
1100	DOMICILIO	APARECIDA DE GOIANIA	1102410080
1100	DOMICILIO	GOIANIA	1102058789
1100	DOMICILIO	GOIANIA	1102292373
1100	DOMICILIO	TRINDADE	1102498022
1100	DOMICILIO	GOIANIA	1102263686
1100	DOMICILIO	TRINDADE	1102183503
1100	DOMICILIO	GOIANIA	1102506443
1100	DOMICILIO	SENADOR CANEDO	1102638138
1100	DOMICILIO	GOIANIA	1102331988
1100	DOMICILIO	GOIANIA	1102524740
1100	DOMICILIO	GOIANIA	1102536131
1100	DOMICILIO	GOIANIA	1102316554
1100	DOMICILIO	GOIANIA	1102291114
1100	DOMICILIO	TRINDADE	1102280473
1100	DOMICILIO	ANAPOLIS	1102284472
1100	DOMICILIO	APARECIDA DE GOIANIA	1102450412
1100	DOMICILIO	GOIANIA	1102299670
1100	DOMICILIO	GOIANIA	1102180472
1100	DOMICILIO	APARECIDA DE GOIANIA	1102163158
1100	DOMICILIO	ANAPOLIS	1102224051
1100	DOMICILIO	ANAPOLIS	1102269384
1100	DOMICILIO	GOIANIA	1102280993
