CD_Resp	transportador (grupo)	Cidade Cliente	pedido_gemco
1100	DOMICILIO	ANAPOLIS	1103470594
1100	DOMICILIO	ANAPOLIS	1103485798
1100	DOMICILIO	APARECIDA DE GOIANIA	1103509481
1100	DOMICILIO	ANAPOLIS	1103491947
1100	DOMICILIO	GOIANIA	1103480109
1100	DOMICILIO	ANAPOLIS	1103543527
1100	DOMICILIO	ANAPOLIS	1103459014
1100	DOMICILIO	ANAPOLIS	1103542220
1100	DOMICILIO	ANAPOLIS	1103579158
1100	DOMICILIO	GOIANIA	1103400731
1100	DOMICILIO	ANAPOLIS	1103384339
1100	DOMICILIO	GOIANIA	1103389496
1100	DOMICILIO	GOIANIA	1103393818
1100	DOMICILIO	GOIANIA	1103571413
1100	DOMICILIO	ANAPOLIS	1103521520
