"""CD_Resp"	cidade_cliente	transportador	"PEDIDO 1P/FULL"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116025214"""
"""1100"	TRINDADE	PORTA APO	"1115993894"""
"""1100"	GOIANIA	PORTA APO	"1115926765"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116054851"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115926584"""
"""1100"	TRINDADE	PORTA APO	"1115966315"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116015038"""
"""1100"	GOIANIA	PORTA APO	"1115881878"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115988587"""
"""1100"	GOIANIA	PORTA APO	"1115974197"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115995535"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115822694"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115858964"""
"""1100"	GOIANIA	PORTA APO	"1116120334"""
"""1100"	GOIANIA	PORTA APO	"1116055174"""
"""1100"	GOIANIA	PORTA APO	"1116120507"""
"""1100"	GOIANIA	PORTA APO	"1116004413"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116002898"""
"""1100"	ANAPOLIS	PORTA APO	"1116058437"""
"""1100"	GOIANIA	PORTA APO	"1116125834"""
"""1100"	GOIANIA	PORTA APO	"1115878031"""
"""1100"	GOIANIA	PORTA APO	"1115919421"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116117112"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115824448"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115970902"""
"""1100"	GOIANIA	PORTA APO	"1115854102"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115834790"""
"""1100"	GOIANIA	PORTA APO	"1116077243"""
"""1100"	GOIANIA	PORTA APO	"1116112128"""
"""1100"	GOIANIA	PORTA APO	"1116065735"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116080898"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115922625"""
"""1100"	ANAPOLIS	PORTA APO	"1115864127"""
"""1100"	GOIANIA	PORTA APO	"1116094159"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116120903"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116118836"""
"""1100"	GOIANIA	PORTA APO	"1115967976"""
"""1100"	GOIANIA	PORTA APO	"1116114262"""
"""1100"	ANAPOLIS	PORTA APO	"1115938830"""
"""1100"	ANAPOLIS	PORTA APO	"1116119281"""
"""1100"	GOIANIA	PORTA APO	"1115836456"""
"""1100"	GOIANIA	PORTA APO	"1115983988"""
"""1100"	GOIANIA	PORTA APO	"1116114404"""
"""1100"	GOIANIA	PORTA APO	"1115906777"""
"""1100"	GOIANIA	PORTA APO	"1116104164"""
"""1100"	GOIANIA	PORTA APO	"1115864721"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116115027"""
"""1100"	ANAPOLIS	PORTA APO	"1116053845"""
"""1100"	GOIANIA	PORTA APO	"1116104803"""
"""1100"	GOIANIA	PORTA APO	"1115966841"""
"""1100"	SENADOR CANEDO	PORTA APO	"1116024030"""
"""1100"	GOIANIA	PORTA APO	"1116086384"""
"""1100"	GOIANIA	PORTA APO	"1115982770"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115999328"""
"""1100"	GOIANIA	PORTA APO	"1113296005"""
"""1100"	GOIANIA	PORTA APO	"1116111852"""
"""1100"	GOIANIA	PORTA APO	"1116017248"""
"""1100"	GOIANIA	PORTA APO	"1115973723"""
"""1100"	GOIANIA	PORTA APO	"1116123803"""
"""1100"	ANAPOLIS	PORTA APO	"1116083949"""
"""1100"	TRINDADE	PORTA APO	"1116087723"""
"""1100"	GOIANIA	PORTA APO	"1115902595"""
"""1100"	GOIANIA	PORTA APO	"1115965588"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115951107"""
"""1100"	GOIANIA	PORTA APO	"1116038099"""
"""1100"	ANAPOLIS	PORTA APO	"1115940007"""
"""1100"	BONFINOPOLIS	PORTA APO	"1114624749"""
"""1100"	BELA VISTA DE GOIAS	PORTA APO	"1114585738"""
"""1100"	BELA VISTA DE GOIAS	PORTA APO	"1114581156"""
"""1100"	GOIANIA	PORTA APO	"1115877709"""
"""1100"	GOIANIA	PORTA APO	"1115968098"""
"""1100"	TRINDADE	PORTA APO	"1115834609"""
"""1100"	GOIANIA	PORTA APO	"1115921913"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115898197"""
"""1100"	TRINDADE	PORTA APO	"1116070657"""
"""1100"	ANAPOLIS	PORTA APO	"1116090720"""
"""1100"	GOIANIA	PORTA APO	"1115898244"""
"""1100"	GOIANIA	PORTA APO	"1115932115"""
"""1100"	GOIANIA	PORTA APO	"1115915534"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115934880"""
"""1100"	SENADOR CANEDO	PORTA APO	"1115930379"""
"""1100"	ANAPOLIS	PORTA APO	"1116108108"""
"""1100"	GOIANIA	PORTA APO	"1115920322"""
"""1100"	GOIANIA	PORTA APO	"1116114002"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116045029"""
"""1100"	GOIANIA	PORTA APO	"1115794015"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116121093"""
"""1100"	GOIANIA	PORTA APO	"1116116954"""
"""1100"	GOIANIA	PORTA APO	"1116116648"""
"""1100"	GOIANIA	PORTA APO	"1115961185"""
"""1100"	GOIANIA	PORTA APO	"1115942384"""
"""1100"	ANAPOLIS	PORTA APO	"1115832523"""
"""1100"	GOIANIA	PORTA APO	"1115941846"""
"""1100"	GOIANIA	PORTA APO	"1115875432"""
"""1100"	GOIANIA	PORTA APO	"1116044555"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115857278"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116051725"""
"""1100"	GOIANIA	PORTA APO	"1116114015"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1115856499"""
"""1100"	GOIANIA	PORTA APO	"1116094893"""
"""1100"	APARECIDA DE GOIANIA	PORTA APO	"1116133103"""
