CD_Resp	transportador (grupo)	Cidade Cliente	pedido_gemco
1100	DOMICILIO	SENADOR CANEDO	1099036651
1100	DOMICILIO	GOIANIA	1099131031
1100	DOMICILIO	GOIANIA	1098891256
1100	DOMICILIO	TRINDADE	1099081342
1100	DOMICILIO	GOIANIA	1099048829
1100	DOMICILIO	GOIANIA	1098984444
1100	DOMICILIO	GOIANIA	1099059550
1100	DOMICILIO	GOIANIA	1099043434
1100	DOMICILIO	PALMEIRAS DE GOIAS	1090470464
1100	DOMICILIO	APARECIDA DE GOIANIA	1098900584
1100	DOMICILIO	GOIANIA	1099094421
1100	DOMICILIO	APARECIDA DE GOIANIA	1099012064
1100	DOMICILIO	APARECIDA DE GOIANIA	1099064340
1100	DOMICILIO	GOIANIA	1098979112
1100	DOMICILIO	GOIANIA	1099032153
1100	DOMICILIO	APARECIDA DE GOIANIA	1099081420
1100	DOMICILIO	APARECIDA DE GOIANIA	1099007427
1100	DOMICILIO	GOIANIA	1099071308
1100	DOMICILIO	GOIANIA	1099126493
1100	DOMICILIO	GOIANIA	1099161134
1100	DOMICILIO	GOIANIA	1099060156
1100	DOMICILIO	ANAPOLIS	1099119177
1100	DOMICILIO	GOIANIA	1099047851
1100	DOMICILIO	ANAPOLIS	1099080596
1100	DOMICILIO	GOIANIA	1099063962
1100	DOMICILIO	ANAPOLIS	1097214263
1100	DOMICILIO	GOIANIA	1099094595
1100	DOMICILIO	SENADOR CANEDO	1099040956
1100	DOMICILIO	ANAPOLIS	1097214933
1100	DOMICILIO	ANAPOLIS	1099021336
1100	DOMICILIO	ANAPOLIS	1099063690
1100	DOMICILIO	GOIANIA	1099071414
1100	DOMICILIO	ANAPOLIS	1099107531
1100	DOMICILIO	GOIANIA	1099083199
1100	DOMICILIO	ANAPOLIS	1099049930
1100	DOMICILIO	GOIANIA	1099077076
1100	DOMICILIO	ANAPOLIS	1098910290
1100	DOMICILIO	ANAPOLIS	1099011623
1100	DOMICILIO	ANAPOLIS	1099040152
1100	DOMICILIO	SENADOR CANEDO	1099013841
1100	DOMICILIO	GOIANIA	1099089546
1100	DOMICILIO	ANAPOLIS	1099025765
1100	DOMICILIO	GOIANIA	1098712520
1100	DOMICILIO	ANAPOLIS	1097214261
1100	DOMICILIO	ANAPOLIS	1099122032
1100	DOMICILIO	GOIANIA	1098979604
1100	DOMICILIO	GOIANIA	1099082258
1100	DOMICILIO	ANAPOLIS	1097214262
1100	DOMICILIO	ANAPOLIS	1097213156
1100	DOMICILIO	GOIANIA	1098964375
1100	DOMICILIO	ANAPOLIS	1098850033
1100	DOMICILIO	ANAPOLIS	1097213157
1100	DOMICILIO	GOIANIA	1099069412
1100	DOMICILIO	ANAPOLIS	1099079018
1100	DOMICILIO	ANAPOLIS	1099041830
1100	DOMICILIO	SAO GABRIEL DE GOIAS (PLANALTINA)	1097169164
1100	DOMICILIO	SENADOR CANEDO	1099137718
1100	DOMICILIO	GOIANIA	1099148908
1100	DOMICILIO	GOIANIA	1099125412
1100	DOMICILIO	ANAPOLIS	1099142909
1100	DOMICILIO	ANAPOLIS	1099133036
1100	DOMICILIO	ANAPOLIS	1099136199
1100	DOMICILIO	ANAPOLIS	1099150842
1100	DOMICILIO	GOIANIA	1099141055
1100	DOMICILIO	GOIANIA	1099052256
1100	DOMICILIO	APARECIDA DE GOIANIA	1099129131
1100	DOMICILIO	GOIANIA	1098969691
1100	DOMICILIO	TRINDADE	1098983190
1100	DOMICILIO	ANAPOLIS	1098987474
1100	DOMICILIO	SENADOR CANEDO	1099081335
1100	DOMICILIO	GOIANIA	1098766695
1100	DOMICILIO	GOIANIA	1099152558
1100	DOMICILIO	ANAPOLIS	1099155781
1100	DOMICILIO	GOIANIA	1099138869
1100	DOMICILIO	GOIANIA	1099127119
1100	DOMICILIO	GOIANIA	1099122817
1100	DOMICILIO	ANAPOLIS	1099161234
1100	DOMICILIO	GOIANIA	1099165634
1100	DOMICILIO	SENADOR CANEDO	1099091004
1100	DOMICILIO	GOIANIA	1099054275
1100	DOMICILIO	GOIANIA	1099132799
1100	DOMICILIO	APARECIDA DE GOIANIA	1099129927
1100	DOMICILIO	GOIANIA	1099167628
1100	DOMICILIO	GOIANIA	1098985070
1100	DOMICILIO	GOIANIA	1099029075
1100	DOMICILIO	GOIANIA	1099162686
1100	DOMICILIO	GOIANIA	1099012950
1100	DOMICILIO	GOIANIA	1099031682
1100	DOMICILIO	ANAPOLIS	1098990766
1100	DOMICILIO	SENADOR CANEDO	1098759632
1100	DOMICILIO	ANAPOLIS	1099010706
1100	DOMICILIO	TRINDADE	1099148189
1100	DOMICILIO	GOIANIA	1099165748
1100	DOMICILIO	GOIANIA	1099145139
1100	DOMICILIO	GOIANIA	1099127046
1100	DOMICILIO	ANAPOLIS	1099012773
1100	DOMICILIO	APARECIDA DE GOIANIA	1098905379
1100	DOMICILIO	ANAPOLIS	1099014108
1100	DOMICILIO	GOIANIA	1098987341
1100	DOMICILIO	TRINDADE	1099147215
1100	DOMICILIO	GOIANIA	1099149292
1100	DOMICILIO	APARECIDA DE GOIANIA	1098837663
1100	DOMICILIO	TRINDADE	1098822045
1100	DOMICILIO	ANAPOLIS	1098885730
